Node,Location,Latitude,Longitude
Node 1,Marina Bay Sands,1.2834,103.8607
Node 2,Gardens by the Bay,1.2816,103.8636
Node 3,Marina Barrage,1.2806,103.8711
Node 4,Singapore Flyer,1.2893,103.8631
Node 5,Millenia Walk,1.2931,103.8595
Node 6,Raffles City,1.2927,103.8537
Node 7,Singapore Management University (SMU),1.2966,103.8501
Node 8,City Square Mall,1.3117,103.857
Node 9,MacRitchie Reservoir,1.3441,103.8278
Node 10,Bishan-Ang Mo Kio Park,1.3653,103.8443
Node 11,NEX Mall,1.3508,103.8724
Node 12,Bedok Mall,1.3241,103.9305
Node 13,Tampines Mall,1.3526,103.9448
Node 14,Eastpoint Mall,1.3433,103.9535
Node 15,Jewel Changi Airport,1.3604,103.9892
Node 16,Changi Airport,1.3644,103.9915
Node 17,Changi Village,1.3892,103.987
Node 18,Pasir Ris Park,1.3811,103.9486
Node 19,Punggol Settlement,1.4166,103.9071
Node 20,Waterway Point,1.4104,103.902
Node 21,Seletar Aerospace Park,1.4176,103.867
Node 22,Republic Polytechnic,1.4434,103.7858
Node 23,Woodlands Waterfront Park,1.451,103.7695
Node 24,Causeway Point,1.4355,103.7858
Node 25,Singapore Zoo,1.4043,103.793
Node 26,Bukit Panjang Plaza,1.379,103.762
Node 27,Bukit Batok Nature Park,1.356,103.7639
Node 28,Nanyang Technological University (NTU),1.3483,103.6828
Node 29,IMM Mall,1.3336,103.7445
Node 30,Clementi Mall,1.3145,103.7658
Node 31,West Coast Park,1.2914,103.7677
Node 32,Rochester Mall,1.3045,103.7877
Node 33,The Star Vista,1.3065,103.7895
Node 34,Holland Village,1.3112,103.7944
Node 35,Gillman Barracks,1.2772,103.8014
Node 36,Sentosa Island,1.2494,103.8303
Node 37,VivoCity,1.2649,103.8238
Node 38,Mount Faber Park,1.2723,103.8198
Node 39,Tiong Bahru Plaza,1.2866,103.8273
Node 40,ION Orchard,1.304,103.8318
Node 41,Orchard Road,1.3048,103.8318
Node 42,Clarke Quay,1.2906,103.8465
Node 43,Chinatown Point,1.2842,103.8433
Node 44,One Raffles Place,1.2842,103.8513
Node 45,Marina Bay Sands,1.2834,103.8607
